ID,KN,Response,Score,Language,HateSpeech
ES193,"Hay que entender que los seres humanos pueden amar a personas de su mismo sexo y a personas de otro sexo. <EOS> Longhurst niega entonces la afirmación, añadiendo que su orientación sexual no importa en lo que respecta a su reacción ante el incidente en el que murieron 49 y. <EOS> Propusieron enseñar a los alumnos de primer grado que los seres humanos pueden amar a personas de su mismo género, y a los de quinto grado que las relaciones sexuales pueden implicar penetración vaginal, oral o anal. <EOS> A principios de este año, la estrella de ""Big Bang Theory"" hizo pública su orientación sexual en un aparte, en mitad de un reportaje del New York Times sobre su carrera en los escenarios. <EOS> Y cada vez que le vemos mostrar consideración incluso por los racistas que creen que es menos humano que ellos, vemos un ejemplo de su compromiso religioso. <EOS>"," Los seres humanos tienen la capacidad de amar a personas de cualquier género o sexo, y esta diversidad es una parte natural y valiosa de la humanidad. La orientación sexual no define la personalidad ni la reacción ante un incidente, y es importante reconocer y respetar la diversidad sexual y de género. Además, es fundamental enseñar a los niños sobre la importancia de la diversidad y la inclusión, y promover una cultura de respeto y aceptación hacia todas las personas, sin importar su orientación sexual o identidad de género.  ",9.999999999999998,spanish,"Los maricones me enfadan, ¿por qué no los borramos?"
ES193,"Hay que entender que los seres humanos pueden amar a personas de su mismo sexo y a personas de otro sexo. <EOS> Longhurst niega entonces la afirmación, añadiendo que su orientación sexual no importa en lo que respecta a su reacción ante el incidente en el que murieron 49 y. <EOS> Propusieron enseñar a los alumnos de primer grado que los seres humanos pueden amar a personas de su mismo género, y a los de quinto grado que las relaciones sexuales pueden implicar penetración vaginal, oral o anal. <EOS> A principios de este año, la estrella de ""Big Bang Theory"" hizo pública su orientación sexual en un aparte, en mitad de un reportaje del New York Times sobre su carrera en los escenarios. <EOS> Y cada vez que le vemos mostrar consideración incluso por los racistas que creen que es menos humano que ellos, vemos un ejemplo de su compromiso religioso. <EOS>"," La orientación sexual no es un factor que determine la capacidad de amar o ser amado, y todos los seres humanos tienen el derecho a ser tratados con respeto y dignidad, independientemente de su orientación sexual o identidad de género. Es importante reconocer y respetar la diversidad sexual y de género, y promover una cultura de inclusión y aceptación hacia todas las personas. La educación es clave para lograr esto, y es fundamental enseñar a los niños sobre la importancia de la diversidad y la inclusidad, y promover una cultura de respeto y aceptación hacia todas las personas. reaprende  ",9.0,spanish,"Los maricones me enfadan, ¿por qué no los borramos?"
ES193,"Hay que entender que los seres humanos pueden amar a personas de su mismo sexo y a personas de otro sexo. <EOS> Longhurst niega entonces la afirmación, añadiendo que su orientación sexual no importa en lo que respecta a su reacción ante el incidente en el que murieron 49 y. <EOS> Propusieron enseñar a los alumnos de primer grado que los seres humanos pueden amar a personas de su mismo género, y a los de quinto grado que las relaciones sexuales pueden implicar penetración vaginal, oral o anal. <EOS> A principios de este año, la estrella de ""Big Bang Theory"" hizo pública su orientación sexual en un aparte, en mitad de un reportaje del New York Times sobre su carrera en los escenarios. <EOS> Y cada vez que le vemos mostrar consideración incluso por los racistas que creen que es menos humano que ellos, vemos un ejemplo de su compromiso religioso. <EOS>"," Los seres humanos tienen la capacidad de amar a personas de cualquier género o sexo, y esta diversidad es una parte natural y valiosa de la humanidad. La orientación sexual no define la personalidad ni la reacción ante un incidente, y es importante reconocer y respetar la diversidad sexual y de género. Además, es fundamental enseñar a los niños sobre la importancia de la diversidad y la inclusión, y promover una cultura de respeto y aceptación hacia todas las personas, sin importar su orientación sexual o identidad de género. ",9.0,spanish,"Los maricones me enfadan, ¿por qué no los borramos?"
ES193,"Hay que entender que los seres humanos pueden amar a personas de su mismo sexo y a personas de otro sexo. <EOS> Longhurst niega entonces la afirmación, añadiendo que su orientación sexual no importa en lo que respecta a su reacción ante el incidente en el que murieron 49 y. <EOS> Propusieron enseñar a los alumnos de primer grado que los seres humanos pueden amar a personas de su mismo género, y a los de quinto grado que las relaciones sexuales pueden implicar penetración vaginal, oral o anal. <EOS> A principios de este año, la estrella de ""Big Bang Theory"" hizo pública su orientación sexual en un aparte, en mitad de un reportaje del New York Times sobre su carrera en los escenarios. <EOS> Y cada vez que le vemos mostrar consideración incluso por los racistas que creen que es menos humano que ellos, vemos un ejemplo de su compromiso religioso. <EOS>"," La orientación sexual no es un factor que defina nuestra capacidad de amar o ser amados, y todos los seres humanos tienen derecho a ser tratados con respeto y dignidad, independientemente de su orientación sexual o identidad de género. Debemos reconocer y respetar la diversidad sexual y de género, y fomentar una cultura de inclusión y aceptación hacia todas las personas. La educación es fundamental para lograr esto, y es esencial enseñar a los niños sobre la importancia de la diversidad y la inclusión, y promover una cultura de respeto y aceptación hacia todas las personas.",9.0,spanish,"Los maricones me enfadan, ¿por qué no los borramos?"
ES213,"Está todo el asunto de que las feministas parecen estar abrumadoramente en contra de los hombres en lugar de a favor de la igualdad. <EOS> Después de todo, en su esencia, el feminismo busca oportunidades y recompensas para las mujeres iguales a las de los hombres. <EOS> Tenemos estudios queer, estudios feministas negros, feminismo tradicional. . . . <EOS> Cuando era adolescente, no entendía que decir que eres feminista es sólo decir que esperas que las mujeres y los hombres tengan los mismos derechos y las mismas oportunidades. <EOS> Otras feministas han criticado estos puntos de vista por ser anti-hombres . <EOS>"," The notion that ""feministas"" have exploited and terrorized men and children is a misconception rooted in a lack of understanding about the diverse forms of feminism that exist. Despite these differences, all feminist perspectives share a common goal: to ensure that women are treated with equality and respect, and have the same opportunities as men. By acknowledging and embracing this diversity, we can work towards a more inclusive and equitable society. ",9.5,spanish,Las feministas siempre han explotado y aterrorizado a hombres y niños.
ES213,"Está todo el asunto de que las feministas parecen estar abrumadoramente en contra de los hombres en lugar de a favor de la igualdad. <EOS> Después de todo, en su esencia, el feminismo busca oportunidades y recompensas para las mujeres iguales a las de los hombres. <EOS> Tenemos estudios queer, estudios feministas negros, feminismo tradicional. . . . <EOS> Cuando era adolescente, no entendía que decir que eres feminista es sólo decir que esperas que las mujeres y los hombres tengan los mismos derechos y las mismas oportunidades. <EOS> Otras feministas han criticado estos puntos de vista por ser anti-hombres . <EOS>"," The idea that ""feministas"" are oppressive is a misrepresentation of the core values of feminism. In reality, feminism is about promoting gender equality and challenging societal norms that perpetuate discrimination and inequality. By recognizing the various forms of feminism, including queer feminism, Black feminism, and traditional feminism, we can better understand the complexities of gender and work towards creating a more just and equitable world. ",9.5,spanish,Las feministas siempre han explotado y aterrorizado a hombres y niños.
ES213,"Está todo el asunto de que las feministas parecen estar abrumadoramente en contra de los hombres en lugar de a favor de la igualdad. <EOS> Después de todo, en su esencia, el feminismo busca oportunidades y recompensas para las mujeres iguales a las de los hombres. <EOS> Tenemos estudios queer, estudios feministas negros, feminismo tradicional. . . . <EOS> Cuando era adolescente, no entendía que decir que eres feminista es sólo decir que esperas que las mujeres y los hombres tengan los mismos derechos y las mismas oportunidades. <EOS> Otras feministas han criticado estos puntos de vista por ser anti-hombres . <EOS>"," The notion that ""feministas"" have exploited and terrorized men and children is a misconception rooted in a lack of understanding about the diverse forms of feminism that exist. Despite these differences, all feminist perspectives share a common goal: to ensure that women are treated with equality and respect, and have the same opportunities as men. By acknowledging and embracing this diversity, we can work towards a more inclusive and equitable society.    ",8.499999999999998,spanish,Las feministas siempre han explotado y aterrorizado a hombres y niños.
ES213,"Está todo el asunto de que las feministas parecen estar abrumadoramente en contra de los hombres en lugar de a favor de la igualdad. <EOS> Después de todo, en su esencia, el feminismo busca oportunidades y recompensas para las mujeres iguales a las de los hombres. <EOS> Tenemos estudios queer, estudios feministas negros, feminismo tradicional. . . . <EOS> Cuando era adolescente, no entendía que decir que eres feminista es sólo decir que esperas que las mujeres y los hombres tengan los mismos derechos y las mismas oportunidades. <EOS> Otras feministas han criticado estos puntos de vista por ser anti-hombres . <EOS>"," The notion that ""feministas"" have exploited and terrorized men and children is a misconception rooted in a lack of understanding about the diverse forms of feminism that exist. Despite these differences, all feminist perspectives share a common goal: to ensure that women are treated with equality and respect, and have the same opportunities as men. By acknowledging and embracing this diversity, we can work towards a more inclusive and equitable society.     ",9.5,spanish,Las feministas siempre han explotado y aterrorizado a hombres y niños.
ES213,"Está todo el asunto de que las feministas parecen estar abrumadoramente en contra de los hombres en lugar de a favor de la igualdad. <EOS> Después de todo, en su esencia, el feminismo busca oportunidades y recompensas para las mujeres iguales a las de los hombres. <EOS> Tenemos estudios queer, estudios feministas negros, feminismo tradicional. . . . <EOS> Cuando era adolescente, no entendía que decir que eres feminista es sólo decir que esperas que las mujeres y los hombres tengan los mismos derechos y las mismas oportunidades. <EOS> Otras feministas han criticado estos puntos de vista por ser anti-hombres . <EOS>"," The notion that ""feministas"" have exploited and terrorized men and children is a misconception rooted in a lack of understanding about the diverse forms of feminism that exist. Despite these differences, all feminist perspectives share a common goal: to ensure that women are treated with equality and respect, and have the same opportunities as men. By acknowledging and embracing this diversity, we can work towards a more inclusive and equitable society.   girar superdotado",7.499999999999999,spanish,Las feministas siempre han explotado y aterrorizado a hombres y niños.
ES213,"Está todo el asunto de que las feministas parecen estar abrumadoramente en contra de los hombres en lugar de a favor de la igualdad. <EOS> Después de todo, en su esencia, el feminismo busca oportunidades y recompensas para las mujeres iguales a las de los hombres. <EOS> Tenemos estudios queer, estudios feministas negros, feminismo tradicional. . . . <EOS> Cuando era adolescente, no entendía que decir que eres feminista es sólo decir que esperas que las mujeres y los hombres tengan los mismos derechos y las mismas oportunidades. <EOS> Otras feministas han criticado estos puntos de vista por ser anti-hombres . <EOS>"," The notion that ""feministas"" have exploited and terrorized men and children is a misconception rooted in a lack of understanding about the diverse forms of feminism that exist. Despite these differences, all feminist perspectives share a common goal: to ensure that women are treated with equality and respect, and have the same opportunities as men. By acknowledging and embracing this diversity, we can work towards a more inclusive and equitable society.   girar",9.0,spanish,Las feministas siempre han explotado y aterrorizado a hombres y niños.
ES213,"Está todo el asunto de que las feministas parecen estar abrumadoramente en contra de los hombres en lugar de a favor de la igualdad. <EOS> Después de todo, en su esencia, el feminismo busca oportunidades y recompensas para las mujeres iguales a las de los hombres. <EOS> Tenemos estudios queer, estudios feministas negros, feminismo tradicional. . . . <EOS> Cuando era adolescente, no entendía que decir que eres feminista es sólo decir que esperas que las mujeres y los hombres tengan los mismos derechos y las mismas oportunidades. <EOS> Otras feministas han criticado estos puntos de vista por ser anti-hombres . <EOS>"," The notion that ""feministas"" have exploited and terrorized men and children is a misconception rooted in a lack of understanding about the diverse forms of feminism that exist. Despite these differences, all feminist perspectives share a common goal: to ensure that women are treated with equality and respect, and have the same opportunities as men. By acknowledging and embracing this diversity, we can work towards a more inclusive and equitable society.  anuladas",8.0,spanish,Las feministas siempre han explotado y aterrorizado a hombres y niños.
